Mês/Ano,Razão Social,CNPJ,Região,Estado,Município,Capacidade Produção Biodiesel (m³/d)
08/2023,CEREAL COMERCIO EXPORTACAO E REPRESENTACAO AGROPECUARIA SA,00012377000160,CENTRO OESTE,Goiás,RIO VERDE,600
08/2023,CARAMURU ALIMENTOS  S/A,00080671000371,CENTRO OESTE,Goiás,SAO SIMAO,625
08/2023,CARAMURU ALIMENTOS  S/A,00080671002153,CENTRO OESTE,Goiás,IPAMERI,625
08/2023,CARAMURU ALIMENTOS  S/A,00080671002668,CENTRO OESTE,Mato Grosso,SORRISO,285
08/2023,ADM DO BRASIL LTDA,02003402002461,CENTRO OESTE,Mato Grosso,RONDONOPOLIS,1352
08/2023,ADM DO BRASIL LTDA,02003402004677,SUL,Santa Catarina,JOACABA,510
08/2023,COCAMAR MAQUINAS AGRICOLAS LTDA.,02213491001156,SUL,Paraná,MARINGA,353
08/2023,FIAGRIL LTDA,02734023000821,CENTRO OESTE,Mato Grosso,LUCAS DO RIO VERDE,563
08/2023,SEARA ALIMENTOS LTDA,02914460032788,SUL,Santa Catarina,MAFRA,1025
08/2023,JBS S/A,02916265013300,SUDESTE,São Paulo,LINS,560
08/2023,JBS S/A,02916265028099,CENTRO OESTE,Mato Grosso,CAMPO VERDE,410
08/2023,BOCCHI INDUSTRIA E COMERCIO DE CEREAIS LTDA,02987873001056,SUL,Rio Grande do Sul,MUITOS CAPOES,300
08/2023,AGROPAULO AGROINDUSTRIAL S.A,05373212000995,NORDESTE,Ceará,JAGUARUANA,50
08/2023,COFCO INTERNATIONAL BRASIL S.A.,06315338022864,CENTRO OESTE,Mato Grosso,RONDONOPOLIS,1100
08/2023,BINATURAL ENERGIAS RENOVAVEIS S.A,07113559000177,CENTRO OESTE,Goiás,FORMOSA,650
08/2023,BE8 S.A.,07322382000119,SUL,Rio Grande do Sul,PASSO FUNDO,1300
08/2023,BE8 S.A.,07322382000461,SUL,Paraná,MARIALVA,1300
08/2023,JATAI AGROINDUSTRIA DE BIO-COMBUSTIVEL LTDA - EPP,07445656000167,CENTRO OESTE,Goiás,JATAI,50
08/2023,TAUA BIODIESEL LTDA,08079290000112,CENTRO OESTE,Mato Grosso,NOVA MUTUM,100
08/2023,BIONORTE INDUSTRIA E COMERCIO DE BIODIESEL LTDA,08080422000126,CENTRO OESTE,Goiás,SAO MIGUEL DO ARAGUAIA,95
08/2023,IPÊ BIOCOMBUSTÍVEL LTDA.,08382761000167,CENTRO OESTE,Mato Grosso,FELIZ NATAL,100
08/2023,BIO OLEO INDUSTRIA E COMERCIO DE BIOCOMBUSTIVEL LTDA - EPP,08387930000151,CENTRO OESTE,Mato Grosso,CUIABA,150
08/2023,CESBRA QUIMICA LTDA,08436584000154,SUDESTE,Rio de Janeiro,VOLTA REDONDA,166
08/2023,BIOPAR PRODUCAO DE BIODIESEL PARECIS LTDA,08684263000179,CENTRO OESTE,Mato Grosso,NOVA MARILANDIA,288
08/2023,BIO VIDA PRODUCAO E COMERCIO DE BIODIESEL LTDA - ME,08772264000175,CENTRO OESTE,Mato Grosso,VARZEA GRANDE,150
08/2023,AMAZONBIO - INDUSTRIA E COMERCIO DE BIODIESEL DA AMAZONIA LTDA.,08794451000150,NORTE,Rondônia,JI-PARANA,90
08/2023,PRISMA COMERCIAL EXPORTADORA DE OLEOQUIMICOS LTDA,09267863000609,SUDESTE,São Paulo,SUMARE,200
08/2023,PETROBRAS BIOCOMBUSTIVEL S/A,10144628000386,NORDESTE,Bahia,CANDEIAS,845
08/2023,PETROBRAS BIOCOMBUSTIVEL S/A,10144628000467,SUDESTE,Minas Gerais,MONTES CLAROS,545
08/2023,ALIANCA BIOCOMBUSTÍVEL LTDA.,10737181000197,CENTRO OESTE,Mato Grosso,RONDONOPOLIS,10
08/2023,DELTA BIOCOMBUSTIVEIS INDUSTRIA E COMERCIO LTDA,11513699000100,CENTRO OESTE,Mato Grosso do Sul,RIO BRILHANTE,600
08/2023,DELTA CUIABA PRODUTORA DE BIOCOMBUSTIVEIS LTDA.,11652509000135,CENTRO OESTE,Mato Grosso,CUIABA,1000
08/2023,POTENCIAL BIODIESEL LTDA,12613484000123,SUL,Paraná,LAPA,2500
08/2023,OLEOPLAN NORDESTE INDUSTRIA DE BIOCOMBUSTIVEL LTDA.,13463913000358,NORDESTE,Bahia,IRAQUARA,1300
08/2023,UNIAO INDUSTRIA E COMERCIO DO PARA LTDA,30937909000131,NORTE,Pará,SANTO ANTONIO DO TAUA,250
08/2023,USINA BARRALCOOL S/A,33664228000135,CENTRO OESTE,Mato Grosso,BARRA DO BUGRES,190
08/2023,UNIBRAS INDÚSTRIA E COMÉRCIO DE BIOCOMBUSTÍVEL LTDA .,33931174000127,NORDESTE,Piauí,FLORIANO,250
08/2023,FENIX COMPLEXO INDUSTRIAL S/A,35367818000202,CENTRO OESTE,Mato Grosso,ALTO ARAGUAIA,680
08/2023,OLEOPLAN RONDONIA INDUSTRIA DE BIOCOMBUSTIVEL LTDA.,36015262000258,NORTE,Rondônia,CACOAL,600
08/2023,BINATURAL BAHIA LTDA,37880187000175,NORDESTE,Bahia,SIMOES FILHO,1000
08/2023,OLEOPLAN PARA INDUSTRIA DE BIOCOMBUSTIVEL LTDA,39796014000107,NORTE,Pará,TOME-ACU,800
08/2023,GRANOL INDUSTRIA COMERCIO E EXPORTACAO SA,50290329002660,CENTRO OESTE,Goiás,ANAPOLIS,1550
08/2023,GRANOL INDUSTRIA COMERCIO E EXPORTACAO SA,50290329006143,SUL,Rio Grande do Sul,CACHOEIRA DO SUL,933
08/2023,GRANOL INDUSTRIA COMERCIO E EXPORTACAO SA,50290329008430,NORTE,Tocantins,PORTO NACIONAL,800
08/2023,PRODUTOS ALIMENTICIOS ORLANDIA S A COMERCIO E INDUSTRIA,53309845000120,SUDESTE,São Paulo,ORLANDIA,367
08/2023,CARGILL AGRICOLA S A,60498706029481,CENTRO OESTE,Mato Grosso do Sul,TRES LAGOAS,965
08/2023,MINERVA S.A.,67620377004705,CENTRO OESTE,Goiás,PALMEIRAS DE GOIAS,200
08/2023,CAIBIENSE GRAN VITA LTDA,75817163000756,CENTRO OESTE,Mato Grosso,RONDONOPOLIS,250
08/2023,AMAGGI EXPORTACAO E IMPORTACAO LTDA,77294254005587,CENTRO OESTE,Mato Grosso,LUCAS DO RIO VERDE,1022
08/2023,LAR COOPERATIVA AGROINDUSTRIAL,77752293012447,CENTRO OESTE,Mato Grosso do Sul,CAARAPO,400
08/2023,BUNGE ALIMENTOS S/A,84046101054366,CENTRO OESTE,Mato Grosso,NOVA MUTUM,497
08/2023,BIANCHINI SA INDUSTRIA COMERCIO E AGRICULTURA,87548020000260,SUL,Rio Grande do Sul,CANOAS,1150
08/2023,OLEOPLAN S.A. OLEOS VEGETAIS PLANALTO,88676127000257,SUL,Rio Grande do Sul,VERANOPOLIS,1300
08/2023,FUGA COUROS SA,91302349001610,SUL,Rio Grande do Sul,CAMARGO,500
08/2023,OLFAR S/A - ALIMENTO E ENERGIA,91830836000683,SUL,Rio Grande do Sul,ERECHIM,1200
08/2023,OLFAR S/A - ALIMENTO E ENERGIA,91830836004085,SUDESTE,Rio de Janeiro,PORTO REAL,450
08/2023,OLFAR S/A - ALIMENTO E ENERGIA,91830836006452,CENTRO OESTE,Goiás,PORANGATU,1800
08/2023,TRES TENTOS AGROINDUSTRIAL SA,94813102001737,SUL,Rio Grande do Sul,IJUI,850
08/2023,CAMERA AGROALIMENTOS S.A,98248644002656,SUL,Rio Grande do Sul,IJUI,650
07/2023,CEREAL COMERCIO EXPORTACAO E REPRESENTACAO AGROPECUARIA SA,00012377000160,CENTRO OESTE,Goiás,RIO VERDE,600
07/2023,CARAMURU ALIMENTOS  S/A,00080671000371,CENTRO OESTE,Goiás,SAO SIMAO,625
07/2023,CARAMURU ALIMENTOS  S/A,00080671002153,CENTRO OESTE,Goiás,IPAMERI,625
07/2023,CARAMURU ALIMENTOS  S/A,00080671002668,CENTRO OESTE,Mato Grosso,SORRISO,285
07/2023,ADM DO BRASIL LTDA,02003402002461,CENTRO OESTE,Mato Grosso,RONDONOPOLIS,1352
07/2023,ADM DO BRASIL LTDA,02003402004677,SUL,Santa Catarina,JOACABA,510
07/2023,COCAMAR MAQUINAS AGRICOLAS LTDA.,02213491001156,SUL,Paraná,MARINGA,353
07/2023,FIAGRIL LTDA,02734023000821,CENTRO OESTE,Mato Grosso,LUCAS DO RIO VERDE,563
07/2023,SEARA ALIMENTOS LTDA,02914460032788,SUL,Santa Catarina,MAFRA,1025
07/2023,JBS S/A,02916265013300,SUDESTE,São Paulo,LINS,560
07/2023,JBS S/A,02916265028099,CENTRO OESTE,Mato Grosso,CAMPO VERDE,410
07/2023,BOCCHI INDUSTRIA E COMERCIO DE CEREAIS LTDA,02987873001056,SUL,Rio Grande do Sul,MUITOS CAPOES,300
07/2023,AGROPAULO AGROINDUSTRIAL S.A,05373212000995,NORDESTE,Ceará,JAGUARUANA,50
07/2023,COFCO INTERNATIONAL BRASIL S.A.,06315338022864,CENTRO OESTE,Mato Grosso,RONDONOPOLIS,1100
07/2023,BINATURAL ENERGIAS RENOVAVEIS S.A,07113559000177,CENTRO OESTE,Goiás,FORMOSA,650
07/2023,BE8 S.A.,07322382000119,SUL,Rio Grande do Sul,PASSO FUNDO,1300
07/2023,BE8 S.A.,07322382000461,SUL,Paraná,MARIALVA,1300
07/2023,JATAI AGROINDUSTRIA DE BIO-COMBUSTIVEL LTDA - EPP,07445656000167,CENTRO OESTE,Goiás,JATAI,50
07/2023,TAUA BIODIESEL LTDA,08079290000112,CENTRO OESTE,Mato Grosso,NOVA MUTUM,100
07/2023,BIONORTE INDUSTRIA E COMERCIO DE BIODIESEL LTDA,08080422000126,CENTRO OESTE,Goiás,SAO MIGUEL DO ARAGUAIA,95
07/2023,IPÊ BIOCOMBUSTÍVEL LTDA.,08382761000167,CENTRO OESTE,Mato Grosso,FELIZ NATAL,100
07/2023,BIO OLEO INDUSTRIA E COMERCIO DE BIOCOMBUSTIVEL LTDA - EPP,08387930000151,CENTRO OESTE,Mato Grosso,CUIABA,150
07/2023,CESBRA QUIMICA LTDA,08436584000154,SUDESTE,Rio de Janeiro,VOLTA REDONDA,166
07/2023,BIOPAR PRODUCAO DE BIODIESEL PARECIS LTDA,08684263000179,CENTRO OESTE,Mato Grosso,NOVA MARILANDIA,288
07/2023,BIO VIDA PRODUCAO E COMERCIO DE BIODIESEL LTDA - ME,08772264000175,CENTRO OESTE,Mato Grosso,VARZEA GRANDE,150
07/2023,AMAZONBIO - INDUSTRIA E COMERCIO DE BIODIESEL DA AMAZONIA LTDA.,08794451000150,NORTE,Rondônia,JI-PARANA,90
07/2023,PRISMA COMERCIAL EXPORTADORA DE OLEOQUIMICOS LTDA,09267863000609,SUDESTE,São Paulo,SUMARE,200
07/2023,PETROBRAS BIOCOMBUSTIVEL S/A,10144628000386,NORDESTE,Bahia,CANDEIAS,845
07/2023,PETROBRAS BIOCOMBUSTIVEL S/A,10144628000467,SUDESTE,Minas Gerais,MONTES CLAROS,545
07/2023,ALIANCA BIOCOMBUSTÍVEL LTDA.,10737181000197,CENTRO OESTE,Mato Grosso,RONDONOPOLIS,10
07/2023,DELTA BIOCOMBUSTIVEIS INDUSTRIA E COMERCIO LTDA,11513699000100,CENTRO OESTE,Mato Grosso do Sul,RIO BRILHANTE,600
07/2023,DELTA CUIABA PRODUTORA DE BIOCOMBUSTIVEIS LTDA.,11652509000135,CENTRO OESTE,Mato Grosso,CUIABA,1000
07/2023,POTENCIAL BIODIESEL LTDA,12613484000123,SUL,Paraná,LAPA,2500
07/2023,OLEOPLAN NORDESTE INDUSTRIA DE BIOCOMBUSTIVEL LTDA.,13463913000358,NORDESTE,Bahia,IRAQUARA,1300
07/2023,UNIAO INDUSTRIA E COMERCIO DO PARA LTDA,30937909000131,NORTE,Pará,SANTO ANTONIO DO TAUA,250
07/2023,USINA BARRALCOOL S/A,33664228000135,CENTRO OESTE,Mato Grosso,BARRA DO BUGRES,190
07/2023,UNIBRAS INDÚSTRIA E COMÉRCIO DE BIOCOMBUSTÍVEL LTDA .,33931174000127,NORDESTE,Piauí,FLORIANO,250
07/2023,FENIX COMPLEXO INDUSTRIAL S/A,35367818000202,CENTRO OESTE,Mato Grosso,ALTO ARAGUAIA,680
07/2023,OLEOPLAN RONDONIA INDUSTRIA DE BIOCOMBUSTIVEL LTDA.,36015262000258,NORTE,Rondônia,CACOAL,600
07/2023,BINATURAL BAHIA LTDA,37880187000175,NORDESTE,Bahia,SIMOES FILHO,1000
07/2023,OLEOPLAN PARA INDUSTRIA DE BIOCOMBUSTIVEL LTDA,39796014000107,NORTE,Pará,TOME-ACU,800
07/2023,GRANOL INDUSTRIA COMERCIO E EXPORTACAO SA,50290329002660,CENTRO OESTE,Goiás,ANAPOLIS,1550
07/2023,GRANOL INDUSTRIA COMERCIO E EXPORTACAO SA,50290329006143,SUL,Rio Grande do Sul,CACHOEIRA DO SUL,933
07/2023,GRANOL INDUSTRIA COMERCIO E EXPORTACAO SA,50290329008430,NORTE,Tocantins,PORTO NACIONAL,800
07/2023,PRODUTOS ALIMENTICIOS ORLANDIA S A COMERCIO E INDUSTRIA,53309845000120,SUDESTE,São Paulo,ORLANDIA,367
07/2023,CARGILL AGRICOLA S A,60498706029481,CENTRO OESTE,Mato Grosso do Sul,TRES LAGOAS,965
07/2023,MINERVA S.A.,67620377004705,CENTRO OESTE,Goiás,PALMEIRAS DE GOIAS,200
07/2023,CAIBIENSE GRAN VITA LTDA,75817163000756,CENTRO OESTE,Mato Grosso,RONDONOPOLIS,250
07/2023,AMAGGI EXPORTACAO E IMPORTACAO LTDA,77294254005587,CENTRO OESTE,Mato Grosso,LUCAS DO RIO VERDE,1022
07/2023,LAR COOPERATIVA AGROINDUSTRIAL,77752293012447,CENTRO OESTE,Mato Grosso do Sul,CAARAPO,400
07/2023,BUNGE ALIMENTOS S/A,84046101054366,CENTRO OESTE,Mato Grosso,NOVA MUTUM,497
07/2023,BIANCHINI SA INDUSTRIA COMERCIO E AGRICULTURA,87548020000260,SUL,Rio Grande do Sul,CANOAS,1150
07/2023,OLEOPLAN S.A. OLEOS VEGETAIS PLANALTO,88676127000257,SUL,Rio Grande do Sul,VERANOPOLIS,1300
07/2023,FUGA COUROS SA,91302349001610,SUL,Rio Grande do Sul,CAMARGO,500
07/2023,OLFAR S/A - ALIMENTO E ENERGIA,91830836000683,SUL,Rio Grande do Sul,ERECHIM,1200
07/2023,OLFAR S/A - ALIMENTO E ENERGIA,91830836004085,SUDESTE,Rio de Janeiro,PORTO REAL,450
07/2023,OLFAR S/A - ALIMENTO E ENERGIA,91830836006452,CENTRO OESTE,Goiás,PORANGATU,1800
07/2023,TRES TENTOS AGROINDUSTRIAL SA,94813102001737,SUL,Rio Grande do Sul,IJUI,850
07/2023,CAMERA AGROALIMENTOS S.A,98248644002656,SUL,Rio Grande do Sul,IJUI,650
06/2023,CEREAL COMERCIO EXPORTACAO E REPRESENTACAO AGROPECUARIA SA,00012377000160,CENTRO OESTE,Goiás,RIO VERDE,600
06/2023,CARAMURU ALIMENTOS  S/A,00080671000371,CENTRO OESTE,Goiás,SAO SIMAO,625
06/2023,CARAMURU ALIMENTOS  S/A,00080671002153,CENTRO OESTE,Goiás,IPAMERI,625
06/2023,CARAMURU ALIMENTOS  S/A,00080671002668,CENTRO OESTE,Mato Grosso,SORRISO,285
06/2023,ADM DO BRASIL LTDA,02003402002461,CENTRO OESTE,Mato Grosso,RONDONOPOLIS,1352
06/2023,ADM DO BRASIL LTDA,02003402004677,SUL,Santa Catarina,JOACABA,510
06/2023,COCAMAR MAQUINAS AGRICOLAS LTDA.,02213491001156,SUL,Paraná,MARINGA,353
06/2023,FIAGRIL LTDA,02734023000821,CENTRO OESTE,Mato Grosso,LUCAS DO RIO VERDE,563
06/2023,SEARA ALIMENTOS LTDA,02914460032788,SUL,Santa Catarina,MAFRA,1025
06/2023,JBS S/A,02916265013300,SUDESTE,São Paulo,LINS,560
06/2023,JBS S/A,02916265028099,CENTRO OESTE,Mato Grosso,CAMPO VERDE,410
06/2023,BOCCHI INDUSTRIA E COMERCIO DE CEREAIS LTDA,02987873001056,SUL,Rio Grande do Sul,MUITOS CAPOES,300
06/2023,AGROPAULO AGROINDUSTRIAL S.A,05373212000995,NORDESTE,Ceará,JAGUARUANA,50
06/2023,COFCO INTERNATIONAL BRASIL S.A.,06315338022864,CENTRO OESTE,Mato Grosso,RONDONOPOLIS,1100
06/2023,BINATURAL ENERGIAS RENOVAVEIS S.A,07113559000177,CENTRO OESTE,Goiás,FORMOSA,650
06/2023,BE8 S.A.,07322382000119,SUL,Rio Grande do Sul,PASSO FUNDO,1300
06/2023,BE8 S.A.,07322382000461,SUL,Paraná,MARIALVA,1300
06/2023,JATAI AGROINDUSTRIA DE BIO-COMBUSTIVEL LTDA - EPP,07445656000167,CENTRO OESTE,Goiás,JATAI,50
06/2023,TAUA BIODIESEL LTDA,08079290000112,CENTRO OESTE,Mato Grosso,NOVA MUTUM,100
06/2023,BIONORTE INDUSTRIA E COMERCIO DE BIODIESEL LTDA,08080422000126,CENTRO OESTE,Goiás,SAO MIGUEL DO ARAGUAIA,95
06/2023,IPÊ BIOCOMBUSTÍVEL LTDA.,08382761000167,CENTRO OESTE,Mato Grosso,FELIZ NATAL,100
06/2023,BIO OLEO INDUSTRIA E COMERCIO DE BIOCOMBUSTIVEL LTDA - EPP,08387930000151,CENTRO OESTE,Mato Grosso,CUIABA,150
06/2023,CESBRA QUIMICA LTDA,08436584000154,SUDESTE,Rio de Janeiro,VOLTA REDONDA,166
06/2023,BIOPAR PRODUCAO DE BIODIESEL PARECIS LTDA,08684263000179,CENTRO OESTE,Mato Grosso,NOVA MARILANDIA,288
06/2023,BIO VIDA PRODUCAO E COMERCIO DE BIODIESEL LTDA - ME,08772264000175,CENTRO OESTE,Mato Grosso,VARZEA GRANDE,150
06/2023,AMAZONBIO - INDUSTRIA E COMERCIO DE BIODIESEL DA AMAZONIA LTDA.,08794451000150,NORTE,Rondônia,JI-PARANA,90
06/2023,PRISMA COMERCIAL EXPORTADORA DE OLEOQUIMICOS LTDA,09267863000609,SUDESTE,São Paulo,SUMARE,200
06/2023,PETROBRAS BIOCOMBUSTIVEL S/A,10144628000386,NORDESTE,Bahia,CANDEIAS,845
06/2023,PETROBRAS BIOCOMBUSTIVEL S/A,10144628000467,SUDESTE,Minas Gerais,MONTES CLAROS,545
06/2023,ALIANCA BIOCOMBUSTÍVEL LTDA.,10737181000197,CENTRO OESTE,Mato Grosso,RONDONOPOLIS,10
06/2023,DELTA BIOCOMBUSTIVEIS INDUSTRIA E COMERCIO LTDA,11513699000100,CENTRO OESTE,Mato Grosso do Sul,RIO BRILHANTE,600
06/2023,DELTA CUIABA PRODUTORA DE BIOCOMBUSTIVEIS LTDA.,11652509000135,CENTRO OESTE,Mato Grosso,CUIABA,1000
06/2023,POTENCIAL BIODIESEL LTDA,12613484000123,SUL,Paraná,LAPA,2500
06/2023,OLEOPLAN NORDESTE INDUSTRIA DE BIOCOMBUSTIVEL LTDA.,13463913000358,NORDESTE,Bahia,IRAQUARA,1300
06/2023,UNIAO INDUSTRIA E COMERCIO DO PARA LTDA,30937909000131,NORTE,Pará,SANTO ANTONIO DO TAUA,250
06/2023,USINA BARRALCOOL S/A,33664228000135,CENTRO OESTE,Mato Grosso,BARRA DO BUGRES,190
06/2023,UNIBRAS INDÚSTRIA E COMÉRCIO DE BIOCOMBUSTÍVEL LTDA .,33931174000127,NORDESTE,Piauí,FLORIANO,250
06/2023,FENIX COMPLEXO INDUSTRIAL S/A,35367818000202,CENTRO OESTE,Mato Grosso,ALTO ARAGUAIA,680
06/2023,OLEOPLAN RONDONIA INDUSTRIA DE BIOCOMBUSTIVEL LTDA.,36015262000258,NORTE,Rondônia,CACOAL,600
06/2023,BINATURAL BAHIA LTDA,37880187000175,NORDESTE,Bahia,SIMOES FILHO,1000
06/2023,OLEOPLAN PARA INDUSTRIA DE BIOCOMBUSTIVEL LTDA,39796014000107,NORTE,Pará,TOME-ACU,800
06/2023,GRANOL INDUSTRIA COMERCIO E EXPORTACAO SA,50290329002660,CENTRO OESTE,Goiás,ANAPOLIS,1550
06/2023,GRANOL INDUSTRIA COMERCIO E EXPORTACAO SA,50290329006143,SUL,Rio Grande do Sul,CACHOEIRA DO SUL,933
06/2023,GRANOL INDUSTRIA COMERCIO E EXPORTACAO SA,50290329008430,NORTE,Tocantins,PORTO NACIONAL,800
06/2023,PRODUTOS ALIMENTICIOS ORLANDIA S A COMERCIO E INDUSTRIA,53309845000120,SUDESTE,São Paulo,ORLANDIA,367
06/2023,CARGILL AGRICOLA S A,60498706029481,CENTRO OESTE,Mato Grosso do Sul,TRES LAGOAS,965
06/2023,MINERVA S.A.,67620377004705,CENTRO OESTE,Goiás,PALMEIRAS DE GOIAS,200
06/2023,CAIBIENSE GRAN VITA LTDA,75817163000756,CENTRO OESTE,Mato Grosso,RONDONOPOLIS,250
06/2023,AMAGGI EXPORTACAO E IMPORTACAO LTDA,77294254005587,CENTRO OESTE,Mato Grosso,LUCAS DO RIO VERDE,1022
06/2023,LAR COOPERATIVA AGROINDUSTRIAL,77752293012447,CENTRO OESTE,Mato Grosso do Sul,CAARAPO,400
06/2023,BUNGE ALIMENTOS S/A,84046101054366,CENTRO OESTE,Mato Grosso,NOVA MUTUM,497
06/2023,BIANCHINI SA INDUSTRIA COMERCIO E AGRICULTURA,87548020000260,SUL,Rio Grande do Sul,CANOAS,1150
06/2023,OLEOPLAN S.A. OLEOS VEGETAIS PLANALTO,88676127000257,SUL,Rio Grande do Sul,VERANOPOLIS,1300
06/2023,FUGA COUROS SA,91302349001610,SUL,Rio Grande do Sul,CAMARGO,500
06/2023,OLFAR S/A - ALIMENTO E ENERGIA,91830836000683,SUL,Rio Grande do Sul,ERECHIM,1200
06/2023,OLFAR S/A - ALIMENTO E ENERGIA,91830836004085,SUDESTE,Rio de Janeiro,PORTO REAL,450
06/2023,OLFAR S/A - ALIMENTO E ENERGIA,91830836006452,CENTRO OESTE,Goiás,PORANGATU,1800
06/2023,TRES TENTOS AGROINDUSTRIAL SA,94813102001737,SUL,Rio Grande do Sul,IJUI,850
06/2023,CAMERA AGROALIMENTOS S.A,98248644002656,SUL,Rio Grande do Sul,IJUI,650
05/2023,CEREAL COMERCIO EXPORTACAO E REPRESENTACAO AGROPECUARIA SA,00012377000160,CENTRO OESTE,Goiás,RIO VERDE,600
05/2023,CARAMURU ALIMENTOS  S/A,00080671000371,CENTRO OESTE,Goiás,SAO SIMAO,625
05/2023,CARAMURU ALIMENTOS  S/A,00080671002153,CENTRO OESTE,Goiás,IPAMERI,625
05/2023,CARAMURU ALIMENTOS  S/A,00080671002668,CENTRO OESTE,Mato Grosso,SORRISO,285
05/2023,ADM DO BRASIL LTDA,02003402002461,CENTRO OESTE,Mato Grosso,RONDONOPOLIS,1352
05/2023,ADM DO BRASIL LTDA,02003402004677,SUL,Santa Catarina,JOACABA,510
05/2023,COCAMAR MAQUINAS AGRICOLAS LTDA.,02213491001156,SUL,Paraná,MARINGA,353
05/2023,FIAGRIL LTDA,02734023000821,CENTRO OESTE,Mato Grosso,LUCAS DO RIO VERDE,563
05/2023,SEARA ALIMENTOS LTDA,02914460032788,SUL,Santa Catarina,MAFRA,1025
05/2023,JBS S/A,02916265013300,SUDESTE,São Paulo,LINS,560
05/2023,JBS S/A,02916265028099,CENTRO OESTE,Mato Grosso,CAMPO VERDE,410
05/2023,BOCCHI INDUSTRIA E COMERCIO DE CEREAIS LTDA,02987873001056,SUL,Rio Grande do Sul,MUITOS CAPOES,300
05/2023,AGROPAULO AGROINDUSTRIAL S.A,05373212000995,NORDESTE,Ceará,JAGUARUANA,50
05/2023,COFCO INTERNATIONAL BRASIL S.A.,06315338022864,CENTRO OESTE,Mato Grosso,RONDONOPOLIS,1100
05/2023,BINATURAL ENERGIAS RENOVAVEIS S.A,07113559000177,CENTRO OESTE,Goiás,FORMOSA,650
05/2023,BE8 S.A.,07322382000119,SUL,Rio Grande do Sul,PASSO FUNDO,1300
05/2023,BE8 S.A.,07322382000461,SUL,Paraná,MARIALVA,1300
05/2023,JATAI AGROINDUSTRIA DE BIO-COMBUSTIVEL LTDA - EPP,07445656000167,CENTRO OESTE,Goiás,JATAI,50
05/2023,TAUA BIODIESEL LTDA,08079290000112,CENTRO OESTE,Mato Grosso,NOVA MUTUM,100
05/2023,BIONORTE INDUSTRIA E COMERCIO DE BIODIESEL LTDA,08080422000126,CENTRO OESTE,Goiás,SAO MIGUEL DO ARAGUAIA,95
05/2023,IPÊ BIOCOMBUSTÍVEL LTDA.,08382761000167,CENTRO OESTE,Mato Grosso,FELIZ NATAL,100
05/2023,BIO OLEO INDUSTRIA E COMERCIO DE BIOCOMBUSTIVEL LTDA - EPP,08387930000151,CENTRO OESTE,Mato Grosso,CUIABA,150
05/2023,CESBRA QUIMICA LTDA,08436584000154,SUDESTE,Rio de Janeiro,VOLTA REDONDA,166
05/2023,BIOPAR PRODUCAO DE BIODIESEL PARECIS LTDA,08684263000179,CENTRO OESTE,Mato Grosso,NOVA MARILANDIA,288
05/2023,BIO VIDA PRODUCAO E COMERCIO DE BIODIESEL LTDA - ME,08772264000175,CENTRO OESTE,Mato Grosso,VARZEA GRANDE,150
05/2023,AMAZONBIO - INDUSTRIA E COMERCIO DE BIODIESEL DA AMAZONIA LTDA.,08794451000150,NORTE,Rondônia,JI-PARANA,90
05/2023,PRISMA COMERCIAL EXPORTADORA DE OLEOQUIMICOS LTDA,09267863000609,SUDESTE,São Paulo,SUMARE,200
05/2023,PETROBRAS BIOCOMBUSTIVEL S/A,10144628000386,NORDESTE,Bahia,CANDEIAS,845
05/2023,PETROBRAS BIOCOMBUSTIVEL S/A,10144628000467,SUDESTE,Minas Gerais,MONTES CLAROS,545
05/2023,ALIANCA BIOCOMBUSTÍVEL LTDA.,10737181000197,CENTRO OESTE,Mato Grosso,RONDONOPOLIS,10
05/2023,DELTA BIOCOMBUSTIVEIS INDUSTRIA E COMERCIO LTDA,11513699000100,CENTRO OESTE,Mato Grosso do Sul,RIO BRILHANTE,600
05/2023,DELTA CUIABA PRODUTORA DE BIOCOMBUSTIVEIS LTDA.,11652509000135,CENTRO OESTE,Mato Grosso,CUIABA,1000
05/2023,POTENCIAL BIODIESEL LTDA,12613484000123,SUL,Paraná,LAPA,2500
05/2023,OLEOPLAN NORDESTE INDUSTRIA DE BIOCOMBUSTIVEL LTDA.,13463913000358,NORDESTE,Bahia,IRAQUARA,1300
05/2023,UNIAO INDUSTRIA E COMERCIO DO PARA LTDA,30937909000131,NORTE,Pará,SANTO ANTONIO DO TAUA,250
05/2023,USINA BARRALCOOL S/A,33664228000135,CENTRO OESTE,Mato Grosso,BARRA DO BUGRES,190
05/2023,UNIBRAS INDÚSTRIA E COMÉRCIO DE BIOCOMBUSTÍVEL LTDA .,33931174000127,NORDESTE,Piauí,FLORIANO,250
05/2023,FENIX COMPLEXO INDUSTRIAL S/A,35367818000202,CENTRO OESTE,Mato Grosso,ALTO ARAGUAIA,680
05/2023,OLEOPLAN RONDONIA INDUSTRIA DE BIOCOMBUSTIVEL LTDA.,36015262000258,NORTE,Rondônia,CACOAL,600
05/2023,BINATURAL BAHIA LTDA,37880187000175,NORDESTE,Bahia,SIMOES FILHO,1000
05/2023,OLEOPLAN PARA INDUSTRIA DE BIOCOMBUSTIVEL LTDA,39796014000107,NORTE,Pará,TOME-ACU,800
05/2023,GRANOL INDUSTRIA COMERCIO E EXPORTACAO SA,50290329002660,CENTRO OESTE,Goiás,ANAPOLIS,1550
